danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,id
0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,258343,0,3bidbhpOYeV4knp8AIu8Xn
0.773,0.598,-6.405,0.0577,0.0146,0.0,0.0552,0.49,127.984,185707,0,6BwotFAJRc9TSnsEgFDV9V
0.653,0.842,-5.207,0.193,0.0204,2.58e-05,0.0756,0.817,172.003,203147,0,0DrVnGIRPrA2oEYmClbFgZ
0.71,0.404,-10.04,0.379,0.484,0.0,0.0953,0.398,139.553,165853,0,3pndPhlQWjuSoXhcIIdBjv
0.715,0.655,-6.425,0.137,0.0525,0.0,0.115,0.531,95.078,207333,0,5HQVUIKwCEXpe7JIHyY734
0.598,0.732,-7.013,0.425,0.144,0.0,0.508,0.595,172.329,262507,2,0XRbYXQUymj9SJkrr8YK5B
0.658,0.87,-3.019,0.0955,0.0275,0.0,0.656,0.791,91.647,348000,2,0LyLz6XsVs6wz85dK0S6EG
0.608,0.789,-2.971,0.335,0.00105,3.08e-05,0.0884,0.386,172.093,141867,0,2LQTHb4rEtKpxQgeqdesmc
0.888,0.632,-3.872,0.219,0.19,0.0,0.101,0.662,91.979,266067,0,2NBQmPrOEEjA8VbeWOQGxO
0.656,0.932,-2.77,0.317,0.00131,0.0025,0.184,0.541,85.076,205893,0,34jHDKV7cNwRLl2NU1zPJq
0.533,0.939,-1.883,0.0766,0.000363,7.24e-06,0.0666,0.341,83.684,263227,3,7KZs2C1UGjrIfVXXuvtb20
0.491,0.956,-1.538,0.392,0.0295,0.0,0.46,0.811,173.585,276920,2,2igwFfvr1OAGX9SKDCPBwO
0.706,0.751,-6.323,0.0708,0.173,0.0,0.168,0.195,91.031,182307,0,4E5P1XyAFtrjpiIxkydly4
0.548,0.75,-2.949,0.53,0.184,0.0,0.422,0.497,192.159,167576,2,2plFaDNZayLbtA9Ht1yCEo
0.738,0.87,-5.343,0.0844,0.0124,0.0,0.14,0.845,89.988,205733,0,4jX7ylmW6kILaabLqqAyO0
0.768,0.782,-5.545,0.141,0.0545,0.0,0.338,0.842,116.492,220319,0,1o1Pny4JcE3LdUBeBedbm6
0.598,0.252,-15.086,0.0644,0.194,0.133,0.0992,0.0352,120.064,238307,1,4S7YHmlWwfwArgd8LfSPud
0.586,0.717,-8.546,0.196,0.472,0.00239,0.104,0.306,125.014,276093,0,6lKCaafKm88sVfYz2u7S4B
0.749,0.745,-10.625,0.164,0.000501,0.00403,0.333,0.481,101.972,195107,0,27AHAtAirQapVldIm4c9ZX
0.762,0.666,-6.055,0.0916,0.00427,0.0,0.127,0.278,118.97,232093,0,10I3CmmwT0BkOVhduDy53o
0.895,0.681,-5.267,0.358,0.157,0.0,0.189,0.554,121.918,240000,0,0wdKiSBUT7aZkXUIdJWcwC
0.823,0.617,-8.21,0.248,0.0465,0.0,0.11,0.304,110.007,208440,0,1gZNqH0rDxD1mXLeul1Qq7
0.716,0.485,-8.241,0.237,0.0401,0.0,0.277,0.556,148.141,247600,0,0YSTRuZ7elW9CEBfZJW5Js
0.701,0.485,-10.305,0.364,0.367,6.31e-05,0.0852,0.496,78.863,530253,0,1vvnYpYEMVB4aq9I6tHIEB
0.394,0.661,-8.684,0.192,0.00996,0.0,0.343,0.335,149.818,260987,3,2N3U8uTYhjX2KwGT0pf5x0
0.853,0.693,-6.87,0.275,0.0239,0.0,0.11,0.662,95.967,233787,0,4X5f3vT8MRuXF68pfjNte5
0.898,0.598,-7.164,0.0467,0.49,0.0014,0.0646,0.528,119.966,255253,0,6br4Pc0BzU6dTD5fEmks2i
0.668,0.489,-9.13,0.137,0.115,0.0,0.184,0.258,142.226,231787,0,5Uc07fEUpjjFcLEIleEHkJ
0.884,0.53,-5.776,0.0379,0.0144,0.0,0.095,0.262,99.021,206187,0,7F51q96XofOD2lntm7hzvQ
0.797,0.469,-8.112,0.0646,0.0599,0.0,0.0753,0.481,103.057,224240,0,5IZc3KIVFhjzJ0L2kiXzUl
0.823,0.563,-5.095,0.0443,0.0399,0.0,0.0851,0.682,98.031,225227,0,0k6DnZMLoEUH8NGD5zh2SE
0.595,0.416,-10.957,0.0366,0.536,0.0,0.293,0.185,74.556,127880,1,3MWlVSkoLS1e66nlZ2tuWJ
0.78,0.657,-7.149,0.317,0.0321,2.56e-06,0.339,0.648,163.969,245173,0,3IrkbGQCoEPAkzJ0Tkv8nm
0.492,0.803,-5.911,0.35,0.122,2.08e-05,0.146,0.778,175.802,245107,0,4xyPqgnOnH076SJEW2QUwF
0.789,0.858,-5.542,0.311,0.127,0.0,0.349,0.775,140.022,219333,0,4Li2WHPkuyCdtmokzW2007
0.78,0.575,-7.247,0.273,0.43,0.0,0.143,0.773,84.492,252747,0,2g8HN35AnVGIk7B8yMucww
0.901,0.697,-3.439,0.28,0.145,0.0,0.287,0.67,93.941,229827,0,7KwZNVEaqikRSBSpyhXK2j
0.845,0.884,-4.506,0.0759,0.0128,2.1e-06,0.203,0.904,104.536,257400,0,4INDiWSKvqSKDEu7mh8HFz
0.941,0.631,-5.998,0.114,0.0366,1.8e-06,0.0311,0.63,128.597,263373,0,4PrquuUN34hswtM71OMvxS
0.863,0.772,-2.278,0.114,0.0167,0.0,0.206,0.83,110.514,224680,0,6lob8yGQuretKACtogsaQL
0.419,0.786,-4.589,0.256,0.000454,0.0,0.314,0.744,105.289,216960,2,1x01tXhHXuRaxDvyo0BrxZ
0.699,0.905,-2.757,0.372,0.207,0.0,0.257,0.625,180.109,224227,0,4ZvVQABRpQ4q8uCiSRIQz0
0.604,0.601,-6.837,0.398,0.177,0.0,0.405,0.829,82.261,185813,2,0a72Oo8rFK3PPOIc5kiWX8
0.9,0.656,-7.218,0.222,0.43,0.0,0.189,0.288,106.948,252000,0,69Rq57lrGf5syykFBNi3g4
0.766,0.74,-10.363,0.0807,0.0193,0.0784,0.229,0.183,118.008,296520,3,0Fs9cdPDhptWEDJmiCbkEW
0.837,0.78,-10.449,0.315,0.0527,4.58e-05,0.0894,0.645,93.556,267293,0,7qIwzvrtNJl2En2E3RBL8V
0.766,0.641,-3.777,0.0445,0.0165,0.0386,0.0809,0.579,85.011,257093,0,4Nrg8EG7wWTiTOumtpw8gk
0.512,0.677,-7.407,0.14,0.00425,0.000951,0.142,0.204,172.208,225867,3,2wsBhAFs6Cxk9AGngVpYOK
0.667,0.608,-7.054,0.216,0.324,0.000198,0.426,0.475,99.992,241160,2,2uwnP6tZVVmTovzX5ELooy
0.802,0.544,-9.212,0.0686,0.605,0.0,0.102,0.57,133.992,292865,0,5O59s7bCgTFsXDXlWecyQ1
0.889,0.4,-10.586,0.26,0.322,1.32e-05,0.331,0.336,128.073,301064,0,0Thqjtu54vKMP06pwZkAWp
0.495,0.722,-8.108,0.357,0.0697,0.0,0.113,0.539,175.627,239267,0,4tqcoej1zPvwePZCzuAjJd
0.771,0.536,-8.534,0.323,0.553,1.05e-06,0.294,0.343,94.995,269721,0,52A8OAP8lTQKZCj4Rce92B
0.817,0.814,-5.028,0.222,0.114,0.0,0.351,0.923,103.545,250333,0,0K70lSOi0rN9yOPRB7na89
0.886,0.512,-11.825,0.237,0.207,0.0,0.0991,0.454,93.997,308733,0,63BokRfXSQhEU6Qi2dSJpZ
0.935,0.805,-4.782,0.225,0.0143,1.53e-06,0.298,0.624,105.641,234360,0,7y9yjpRtZajYzVpXHRjwGz
0.827,0.683,-5.985,0.18,0.0449,1.04e-06,0.179,0.376,95.024,226000,0,0pQynoxBL4AvYyt67pZ74x
0.662,0.585,-10.238,0.101,0.531,1.08e-05,0.443,0.829,89.212,373213,2,7rLAPi81R7qlVqgXfykdEL
0.774,0.776,-5.331,0.304,0.178,0.0,0.283,0.654,99.071,311533,0,2Uvwc7D5rhphlzfBDnpYpU
0.899,0.6,-7.451,0.154,0.0184,1.68e-05,0.0725,0.586,92.717,239227,0,0NzNKU2MJ9LCetT2uZMJH2
0.762,0.838,-3.701,0.0963,0.033,0.0,0.0623,0.73,92.482,287547,0,2S2x5N5VJNn7vqYukvoFFC
0.76,0.585,-7.307,0.161,0.0102,0.000468,0.308,0.455,91.179,311040,0,6uWez0py1zc17F7hjp7jIt
0.888,0.584,-13.308,0.112,0.0385,3.19e-06,0.0625,0.762,104.705,334440,0,5vpDsiVqiZLRwKAzQO708k
0.916,0.844,-3.967,0.236,0.0394,0.0,0.0778,0.586,95.19,312627,0,0Z2J91b2iTGLVTZC4fKgxf
0.711,0.693,-8.208,0.41,0.106,0.0,0.0821,0.906,177.978,229305,0,0LfoVjNyrzkCLzarDAazCh
0.651,0.722,-9.389,0.276,0.0125,0.0135,0.0503,0.798,181.983,263520,0,69XvksKwBWUL8b69uTXWwb
