danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.771,0.536,-8.534,0.323,0.553,1.05e-06,0.294,0.343,94.995,52A8OAP8lTQKZCj4Rce92B,269721
0.817,0.814,-5.028,0.222,0.114,0.0,0.351,0.923,103.545,0K70lSOi0rN9yOPRB7na89,250333
0.886,0.512,-11.825,0.237,0.207,0.0,0.0991,0.454,93.997,63BokRfXSQhEU6Qi2dSJpZ,308733
0.935,0.805,-4.782,0.225,0.0143,1.53e-06,0.298,0.624,105.641,7y9yjpRtZajYzVpXHRjwGz,234360
0.827,0.683,-5.985,0.18,0.0449,1.04e-06,0.179,0.376,95.024,0pQynoxBL4AvYyt67pZ74x,226000
0.662,0.585,-10.238,0.101,0.531,1.08e-05,0.443,0.829,89.212,7rLAPi81R7qlVqgXfykdEL,373213
0.774,0.776,-5.331,0.304,0.178,0.0,0.283,0.654,99.071,2Uvwc7D5rhphlzfBDnpYpU,311533
0.899,0.6,-7.451,0.154,0.0184,1.68e-05,0.0725,0.586,92.717,0NzNKU2MJ9LCetT2uZMJH2,239227
0.762,0.838,-3.701,0.0963,0.033,0.0,0.0623,0.73,92.482,2S2x5N5VJNn7vqYukvoFFC,287547
0.76,0.585,-7.307,0.161,0.0102,0.000468,0.308,0.455,91.179,6uWez0py1zc17F7hjp7jIt,311040
0.888,0.584,-13.308,0.112,0.0385,3.19e-06,0.0625,0.762,104.705,5vpDsiVqiZLRwKAzQO708k,334440
0.916,0.844,-3.967,0.236,0.0394,0.0,0.0778,0.586,95.19,0Z2J91b2iTGLVTZC4fKgxf,312627
0.711,0.693,-8.208,0.41,0.106,0.0,0.0821,0.906,177.978,0LfoVjNyrzkCLzarDAazCh,229305
0.651,0.722,-9.389,0.276,0.0125,0.0135,0.0503,0.798,181.983,69XvksKwBWUL8b69uTXWwb,263520
