danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.614,0.84,-3.251,0.0272,0.0351,0.0,0.0995,0.616,105.981,2pTAeNw8ZYhxcqJLkdma5F,231102
0.571,0.631,-7.366,0.0311,0.309,7.14e-06,0.113,0.403,75.032,2fV5uAswzN55fxd79uUp0R,232000
0.69,0.243,-8.329,0.0458,0.98,1.66e-06,0.333,0.512,79.955,5Sy5KenP2IsBVIeElerdT0,127500
0.734,0.547,-7.304,0.0397,0.354,0.0,0.141,0.316,122.063,6zgBajXD9i3rGn5UCSX65g,196721
0.606,0.895,-6.577,0.0769,0.00156,3.13e-05,0.0751,0.349,95.005,2PXxCkdxPAymROTQG74cqO,324632
0.69,0.539,-11.971,0.0357,0.479,0.115,0.103,0.397,139.977,68mkm3LyhBdUmuMrJJ6msY,264000
0.575,0.462,-8.21,0.0257,0.617,1.19e-05,0.0941,0.332,106.037,36ilW56LY6SITEOGNKqZAB,317982
0.576,0.725,-6.142,0.0303,0.00199,0.00388,0.157,0.486,92.972,4a6PyrkUCtomVGobnDczvI,250845
0.227,0.244,-19.876,0.0325,0.963,0.941,0.126,0.0357,104.915,1csPvpvW25NzOMTOh47co0,483030
0.701,0.673,-5.94,0.0292,0.475,1.03e-05,0.0844,0.29,114.001,6MI8SIMvAoqfvKxbwKTndd,274417
0.525,0.41,-7.65,0.0258,0.0927,0.169,0.104,0.184,139.852,6wjHfmmAVXdnnnXTcsrnSA,442000
0.518,0.827,-5.909,0.0392,1.25e-05,0.00247,0.0521,0.279,96.055,6VCGJcMYBxxqZHEhcSPoJW,219875
0.416,0.77,-4.951,0.0356,0.000994,0.753,0.0936,0.413,130.384,4TzBE4m1aWJPgC2sF3gCF9,260500
0.756,0.71,-4.583,0.101,0.0205,0.0,0.118,0.855,136.809,1kEPbbrM9XLd7MkpYDl53f,170484
0.87,0.538,-4.08,0.0457,0.285,1.39e-06,0.0843,0.641,105.975,1zgl2ieyeD1mtgLwHrcbYS,215118
0.572,0.37,-11.988,0.0359,0.841,1.84e-05,0.277,0.423,130.604,4OHbXPR7cQdxR8mw3QkuLd,128000
0.436,0.978,-4.007,0.131,0.00166,5.48e-06,0.362,0.34,162.974,62bURWZ1wXM8lXO311suR2,297672
0.569,0.26,-19.768,0.0448,0.706,0.751,0.0992,0.631,87.251,2zEP60S8ZlWiZ7vfhRN2zQ,297507
0.762,0.43,-10.953,0.0686,0.537,8.3e-06,0.0958,0.298,106.25,05KPNBGW97hipRiwmVeUHD,198362
0.474,0.329,-10.996,0.0329,0.628,2.02e-05,0.115,0.263,149.889,4gEOJVaGZrjgORmTnCr3Rn,222800
